"user_id","username","email","phone_number","profile_picture","password_hash","role","is_active","is_deleted","created_at","updated_at"
1,"emmanuel","emmanuel@gmail.com","+91-9876543210","https://i.pravatar.cc/150?img=5","$2a$12$9prQZNxXu7UXG4XPxwuzpuBFHuSqGJ48iZ6z9yvJzx87WsTVg/q8C","admin",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
2,"jimmy","jimmy@gmail.com","+91-9000000002",NULL,"$2a$12$nOOGAU7/V81CGrppcrRV8uBmVJXQOqa4cDuWzbHMA71QtTD5Y4DIO","admin",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
3,"william","william@gmail.com","+91-9000000003",NULL,"$2a$12$cRlTYvrXnSwYdO5zo5R20.QopbLLWUYIbaXiaB1SShyvrHSqNbr42","admin",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
4,"khamis","khamis@gmail.com","+91-9000000004",NULL,"$2a$12$D0JhAaXFgZUWtt0b.rv6zOGgXfQoc0Nml0NA0R99ZxuaOmiTnL17G","admin",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
5,"citycare","citycare@example.com","+91-9823456711",NULL,"$2a$12$j5nLOWlzmd0cAMXHkEJAj.7e5FHKbiXFpd7S4ZnfdEbX9.wkVI3wa","hospital",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
6,"sunrise","sunrise@example.com","+91-9988776612",NULL,"$2a$12$rlgjKksUJPm0rALyPTzZmue9um2CmiohP/iTo7WxD5eJgTZeBYmva","hospital",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
7,"central","central@example.com","+91-7788994411",NULL,"$2a$12$zrJmyX4o0QjXDhTt2Aofje04TE9hYLSzNZmEzRfkEpIetm61tkr4.","hospital",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
8,"rohan","rohan@example.com","+91-9001234567",NULL,"$2a$12$edJJjpqNLHds37R7pTP6xuTai5jH2X4aJ2sJ8Uzf1Fum/NLvK6kTK","patient",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
9,"amina","amina@example.com","+91-8887654321",NULL,"$2a$12$zGzVbi8gOuXabjSgKbvpveW0GdWlUA58BUqawEmZM6Vl.D6JUthGK","patient",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
10,"joseph","joseph@example.com","+91-9123456789",NULL,"$2a$12$kfpceVm53N6dxdZEiyjcgeM7YkZfslmSCu1qpPEP1KDajCI./ELFO","patient",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
11,"dr_kapoor","dr.kapoor@citycare.example.com","+91-9100000001",NULL,"$2a$12$cfNMOzEZwIZrGlJW6uoXdON4mOqrDJbBr52F.3QfVuz/yud7CSS/K","hospital",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
12,"dr_mehta","dr.mehta@citycare.example.com","+91-9100000002",NULL,"$2a$12$bMd40FaAczwj7V4.DpDin.i1.3Y9kluqdJo2fD.RbkMaNAkAblkgK","hospital",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
13,"dr_iyer","dr.iyer@central.example.com","+91-9100000003",NULL,"$2a$12$AnpMHLuU8FdnU6UHbLHKk.EVtm90j9Na00Uz4qmW8adb3JaG7qtoa","hospital",True,False,"2026-03-28 12:09:42.680476","2026-03-28 12:09:42.680476"
